rank,company,symbol,ytd_return
1,"Robinhood Markets, Inc.",HOOD,264.47
2,Western Digital,WDC,169.64
3,Newmont,NEM,154.94
4,Seagate Technology,STX,148.41
5,Micron Technology,MU,145.69
6,Palantir Technologies,PLTR,140.10
7,Lam Research,LRCX,99.43
8,Advanced Micro Devices,AMD,99.16
9,Intel,INTC,90.02
10,NRG Energy,NRG,85.11
11,Amphenol,APH,83.83
12,CVS Health,CVS,83.74
13,KLA Corporation,KLAC,82.96
14,GE Aerospace,GE,81.47
15,GE Vernova,GEV,80.61
16,Supermicro,SMCI,80.58
17,Corning Inc.,GLW,79.46
18,"Tapestry, Inc.",TPR,78.08
19,Howmet Aerospace,HWM,76.03
20,AppLovin Corporation,APP,74.76
21,Monolithic Power Systems,MPWR,74.34
22,Warner Bros. Discovery,WBD,73.32
23,Oracle Corporation,ORCL,66.33
24,Constellation Energy,CEG,65.39
25,Paramount Skydance Corp,PSKY,62.43
26,DoorDash,DASH,58.19
27,TE Connectivity,TEL,58.05
28,Idexx Laboratories,IDXX,55.62
29,Uber,UBER,55.34
30,eBay,EBAY,54.40
31,"EMCOR Group, Inc.",EME,54.26
32,Interactive Brokers Group,IBKR,51.56
33,Huntington Ingalls Industries,HII,51.23
34,Broadcom,AVGO,50.64
35,CrowdStrike,CRWD,47.19
36,Caterpillar Inc.,CAT,46.43
37,Cencora,COR,45.71
38,HCA Healthcare,HCA,44.31
39,Ralph Lauren Corporation,RL,44.17
40,Take-Two Interactive,TTWO,42.49
41,United Rentals,URI,42.00
42,Jabil,JBL,41.78
43,Wynn Resorts,WYNN,41.53
44,BNY Mellon,BK,41.22
45,Citigroup,C,41.07
46,Welltower,WELL,41.01
47,Vistra Corp.,VST,40.89
48,Dollar General,DG,40.39
49,Applied Materials,AMAT,40.28
50,Johnson Controls,JCI,40.12
51,Quanta Services,PWR,39.45
52,Netflix,NFLX,38.96
53,RTX Corporation,RTX,38.88
54,Coinbase Global,COIN,38.45
55,McKesson Corporation,MCK,38.24
56,L3Harris,LHX,38.18
57,Aptiv,APTV,37.90
58,Electronic Arts,EA,37.11
59,Estée Lauder Companies (The),EL,36.73
60,Allegion,ALLE,36.19
61,Nvidia,NVDA,36.00
62,Alphabet Inc. (Class A),GOOGL,35.53
63,Alphabet Inc. (Class C),GOOG,34.96
64,Johnson & Johnson,JNJ,33.95
65,Hasbro,HAS,33.77
66,Marathon Petroleum,MPC,33.53
67,Goldman Sachs,GS,33.30
68,Gilead Sciences,GILD,33.28
69,Cardinal Health,CAH,32.98
70,Monster Beverage,MNST,32.72
71,Arista Networks,ANET,32.53
72,Leidos,LDOS,32.23
73,Dollar Tree,DLTR,32.13
74,TKO Group Holdings,TKO,31.46
75,Philip Morris International,PM,31.33
76,Royal Caribbean Group,RCL,31.28
77,Invesco,IVZ,30.66
78,Valero Energy,VLO,30.66
79,AbbVie,ABBV,30.59
80,First Solar,FSLR,29.94
81,IBM,IBM,29.03
82,Verisign,VRSN,28.97
83,Morgan Stanley,MS,28.83
84,Dell Technologies,DELL,28.31
85,Charles Schwab Corporation,SCHW,28.29
86,Northrop Grumman,NOC,28.28
87,Steel Dynamics,STLD,28.24
88,Exelon,EXC,28.16
89,General Dynamics,GD,27.97
90,Evergy,EVRG,27.78
91,American Electric Power,AEP,27.75
92,O'Reilly Auto Parts,ORLY,27.72
93,Atmos Energy,ATO,27.62
94,Entergy,ETR,27.55
95,LabCorp,LH,26.87
96,Eversource Energy,ES,26.85
97,CenterPoint Energy,CNP,26.76
98,Xylem Inc.,XYL,26.50
99,Generac,GNRC,26.26
100,Quest Diagnostics,DGX,26.22
101,JPMorgan Chase,JPM,26.14
102,Northern Trust,NTRS,25.71
103,W. R. Berkley Corporation,WRB,25.56
104,Insulet Corporation,PODD,25.20
105,Archer Daniels Midland,ADM,25.08
106,Bunge Global,BG,25.06
107,Meta Platforms,META,25.05
108,WEC Energy Group,WEC,24.95
109,Incyte,INCY,24.76
110,Norfolk Southern Railway,NSC,24.05
111,AutoZone,AZO,23.94
112,Rockwell Automation,ROK,23.44
113,C.H. Robinson,CHRW,23.36
114,Teledyne Technologies,TDY,23.20
115,Altria,MO,23.16
116,Jacobs Solutions,J,22.88
117,Microsoft,MSFT,22.61
118,Boeing,BA,22.50
119,Wells Fargo,WFC,22.47
120,EQT Corporation,EQT,22.42
121,CBRE Group,CBRE,21.78
122,Globe Life,GL,21.44
123,Ventas,VTR,21.41
124,Martin Marietta Materials,MLM,21.41
125,Cboe Global Markets,CBOE,21.34
126,Ford Motor Company,F,21.11
127,Live Nation Entertainment,LYV,21.06
128,"Rollins, Inc.",ROL,20.97
129,Garmin,GRMN,20.78
130,Capital One,COF,20.50
131,Ulta Beauty,ULTA,20.41
132,Xcel Energy,XEL,20.38
133,Mosaic Company (The),MOS,20.34
134,Prologis,PLD,20.32
135,Medtronic,MDT,20.08
136,3M,MMM,19.90
137,Fox Corporation (Class A),FOXA,19.76
138,Duke Energy,DUK,19.68
139,Ecolab,ECL,19.57
140,Fastenal,FAST,19.57
141,Cisco,CSCO,19.34
142,NiSource,NI,19.29
143,Cummins,CMI,18.76
144,FirstEnergy,FE,18.73
145,DTE Energy,DTE,18.69
